,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
0,1000AC,33031431	,330314310230	,000019534299	,None,False,None,ING Bank,ING Bank,ING Bank N.V.,"ING Bank,",Grotestraat,172,None,5141HC,Waalwijk Nevenvestiging,"['KvK 33031431', 'Vestigingsnr. 000019534299', 'Grotestraat 172', '5141HC Waalwijk', 'Nevenvestiging']"
1,1000AC,39044076	,390440760000	,000015738221	,None,True,None,E. Peters Holding B.V.,E. Peters Holding B.V.,E. Peters Holding B.V.,"E. Peters Holding B.V.,",Scheepstimmermanstraat,54,None,1019WX,Amsterdam,"['KvK 39044076', 'Vestigingsnr. 000015738221', 'Scheepstimmermanstraat 54', '1019WX Amsterdam']"
2,1000AC,63689499	,636894990000	,None	,None,False,None,Vereniging van Eigenaars Nieuwstraat 28 en 28a en Heistraat 2 en 4,None,None,"Vereniging van Eigenaars Nieuwstraat 28 en 28a en Heistraat 2 en 4,",Hogehilweg,21,None,1101CB,Amsterdam Rechtspersoon,"['KvK 63689499', 'Hogehilweg 21', '1101CB Amsterdam', 'Rechtspersoon']"
3,1000AC,67443524	,674435240000	,000035984023	,None,True,None,Ascent Bulk Holdings Coöperatief U.A.,Ascent Bulk Holdings Coöperatief U.A.,Ascent Bulk Holdings Coöperatief U.A.,"Ascent Bulk Holdings Coöperatief U.A.,",Prins Bernhardplein,200,None,1097JB,Amsterdam,"['KvK 67443524', 'Vestigingsnr. 000035984023', 'Prins Bernhardplein 200', '1097JB Amsterdam']"
4,1000AC,33257956	,332579560000	,000017744385	,None,True,http://www.tkb.nl,Pasterkamp Beheer B.V.,Pasterkamp Beheer B.V.,Pasterkamp Beheer B.V.,"Pasterkamp Beheer B.V.,",Thomas R. Malthusstraat,1,None,1066JR,Amsterdam,"['KvK 33257956', 'Vestigingsnr. 000017744385', 'Thomas R. Malthusstraat 1', '1066JR Amsterdam']"
5,1000AC,34199179	,341991790000	,None	,None,False,None,Stichting Administratiekantoor Pasterkamp Beheer,None,None,"Stichting Administratiekantoor Pasterkamp Beheer,",Thomas R. Malthusstraat,1,None,1066JR,Amsterdam Rechtspersoon,"['KvK 34199179', 'Thomas R. Malthusstraat 1', '1066JR Amsterdam', 'Rechtspersoon']"
6,1000AC,34336606	,343366060000	,000000612545	,None,True,None,Wim T. Schippers,Wim T. Schippers,None,"Wim T. Schippers,",Oudezijds Achterburgwal,192,None,1012DX,Amsterdam,"['KvK 34336606', 'Vestigingsnr. 000000612545', 'Oudezijds Achterburgwal 192 1', '1012DX Amsterdam']"
7,1000AC,34283716	,342837160000	,000011362081	,None,True,None,E.A. Peters Beheer B.V.,E.A. Peters Beheer B.V.,E.A. Peters Beheer B.V.,"E.A. Peters Beheer B.V.,",Scheepstimmermanstraat,54,None,1019WX,Amsterdam,"['KvK 34283716', 'Vestigingsnr. 000011362081', 'Scheepstimmermanstraat 54', '1019WX Amsterdam']"
8,1000AC,40597285	,405972850000	,None	,None,False,http://www.horecagilde.nl,Nederlands Horeca Gilde,None,None,"Nederlands Horeca Gilde,",Paleisstraat,16,None,1012RB,Amsterdam Rechtspersoon,"['KvK 40597285', 'Paleisstraat 16', '1012RB Amsterdam', 'Rechtspersoon']"
9,1000AC,08215910	,082159100000	,000013285505	,None,True,http://www.striker.nl,Striker B.V.,Striker B.V.,Striker B.V.,"Striker B.V.,",Iemschoten,5,None,7381BB,Klarenbeek,"['KvK 08215910', 'Vestigingsnr. 000013285505', 'Iemschoten 5', '7381BB Klarenbeek']"
