,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
0,1000AA,57851654	,578516540000	,000027253368	,No Value,True,www.firstconsulting.nl.,First Holding B.V.,First Holding B.V.,First Holding B.V.,First Holding B.V.,Herengracht,282,,1016BX,Amsterdam,"<b>...</b> www.firstconsulting.nl. Postbus 39, <b>1000AA</b>, Amsterdam, Nederland 1000  AA. Herengracht 282, 1016BX, Amsterdam, Nederland 1016 BX. <b>...</b>  "
1,1000AA,59789840	,597898400000	,000029047242	,No Value,True,www.xytrium.com.,Xytrium Life B.V.,Xytrium Life B.V. | xytrium,Xytrium Life B.V.,Xytrium Life B.V.,Beechavenue,129,B,1119RB,Schiphol-Rijk,"<b>...</b> www.xytrium.com. Postbus 1, <b>1000AA</b>, AMSTERDAM, Nederland 1000 AA.  Beechavenue 129 B, 1119RB, Schiphol-Rijk, Nederland 1119 RB. <b>...</b>  "
2,1000AA,33011433	,330114330000	,000010159975	,No Value,True,No Value,Heineken N.V.,Heineken N.V.,Heineken N.V.,Heineken N.V.,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> Heineken NV. Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. Tweede  Weteringplantsoen 21, 1017ZD, Amsterdam, Nederland 1017 ZD. <b>...</b>  "
3,1000AA,05080392	,050803920000	,000008279349	,No Value,True,www.firstconsulting.nl.,First Consulting B.V.,First Consulting B.V.,First Consulting B.V.,First Consulting B.V.,Herengracht,282,,1016BX,Amsterdam,"<b>...</b> www.firstconsulting.nl. Postbus 39, <b>1000AA</b>, Amsterdam, Nederland 1000  AA. Herengracht 282, 1016BX, Amsterdam, Nederland 1016 BX. <b>...</b>  "
4,1000AC,63167670	,631676700000	,No Value	,No Value,True,No Value,Vereniging van Asset Managers Woningcorporaties,No Value,No Value,Vereniging van Asset Managers Woningcorporaties,Jollemanhof,5,,1019GW,Amsterdam,"<b>...</b> VVAW. Vereniging van Asset Managers Woningcorporaties. Postbus 140,  <b>1000AC</b>, Amsterdam, Nederland 1000 AC. Jollemanhof <b>...</b>  "
5,1000AA,61879428	,618794280000	,000030943051	,No Value,True,No Value,Kled B.V.,Kled B.V.,Kled B.V.,Kled B.V.,Veemarkt,132,,1019DE,Amsterdam,"<b>...</b> Kled BV. Kled BV. Postbus 19, <b>1000AA</b>, Amsterdam, Nederland 1000 AA.  Veemarkt 132, 1019DE, Amsterdam, Nederland 1019 DE. <b>...</b>  "
6,1000AB,34320170	,343201700000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Blok 57 D te Amsterdam,No Value,No Value,Vereniging van Eigenaars Blok 57 D te Amsterdam,Condensatorweg,54,,1014AX,Amsterdam,"<b>...</b> VVE Blok 57 D te Amsterdam. Vereniging van Eigenaars Blok 57 D te  Amsterdam. Postbus 74, <b>1000AB</b>, Amsterdam, Nederland 1000 AB. <b>...</b>  "
7,1000AB,33003396	,330033960010	,No Value	,Deze nevenvestiging is uitgeschreven uit het Handelsregister,True,No Value,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,De Nederlandsche Bank N.V.,Rijksstraatweg,334,,2242AB,Wassenaar,"<b>...</b> De Nederlandsche Bank NV. Postbus 98, <b>1000AB</b>, Amsterdam, Nederland  1000 AB. Rijksstraatweg 334, 2242AB, Wassenaar, Nederland 2242 AB. <b>...</b>  "
8,1000AA,34288333	,342883330001	,000004162609	,No Value,True,www.villagebagels.nl.,Village Bagels,Village Bagels,No Value,Village Bagels,Vijzelstraat,137,,1017HJ,Amsterdam,"<b>...</b> Restaurants. www.villagebagels.nl. Postbus 7, <b>1000AA</b>, Amsterdam, Nederland  1000 AA. Vijzelstraat 137, 1017HJ, Amsterdam, Nederland 1017 HJ <b>...</b>  "
9,1000AA,33127997	,331279970000	,000016718674	,No Value,True,No Value,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,B.V. Beleggingsmaatschappij Limba,Tweede Weteringplantsoen,21,,1017ZD,Amsterdam,"<b>...</b> BV Beleggingsmaatschappij Limba. BV Beleggingsmaatschappij Limba.  Postbus 28, <b>1000AA</b>, Amsterdam, Nederland 1000 AA. <b>...</b>  "
